micro:bit number | Micro Python Pin number
       0         |           3
       0.1       |          17
       0.2       |          19
       0.3       |
       0.4       |
       1         |           2
       1.1       |
       1.2       |
       1.3       |
       1.4       |
       1.5       |
       2         |           1
       2.1       |
       2.2       |
       2.3       |
       2.4       |
       2.5       |
       3V        |           -
       3.1       |
       3.2       |
       3.3       |
       3.4       |
       GND       |           -
